Sorting Name, N, Comparisons, Seconds
Shell sort, 16000, 308643, 0.001098
Shell sort, 18000, 327739, 0.001213
Shell sort, 20000, 363707, 0.001376
Shell sort, 22000, 366101, 0.001606
Shell sort, 24000, 448716, 0.001732
Shell sort, 26000, 480686, 0.001887
Shell sort, 28000, 538244, 0.002146
Shell sort, 30000, 552015, 0.002117
Shell sort, 32000, 769210, 0.002449
Shell sort, 34000, 637331, 0.002459
Shell sort, 36000, 728947, 0.002609
Shell sort, 38000, 752262, 0.002833
Shell sort, 40000, 889034, 0.003070
Shell sort, 42000, 1055264, 0.003238
Shell sort, 44000, 939664, 0.003574
Shell sort, 46000, 974666, 0.003527
Shell sort, 48000, 1159624, 0.003860
Shell sort, 50000, 1213861, 0.004007
Iquick sort, 2000, 25466, 0.000062
Iquick sort, 4000, 53455, 0.000129
Iquick sort, 6000, 84026, 0.000200
Iquick sort, 8000, 114073, 0.000272
Iquick sort, 10000, 150835, 0.000332
Iquick sort, 12000, 189792, 0.000416
Iquick sort, 14000, 225743, 0.000488
Iquick sort, 16000, 267086, 0.000561
Iquick sort, 18000, 289042, 0.000654
Iquick sort, 20000, 314509, 0.000752
Iquick sort, 22000, 373645, 0.000779
Iquick sort, 24000, 424637, 0.000879
Iquick sort, 26000, 465129, 0.000993
Iquick sort, 28000, 492466, 0.001044
Iquick sort, 30000, 528751, 0.001122
Iquick sort, 32000, 544492, 0.001225
Iquick sort, 34000, 587476, 0.001314
Iquick sort, 36000, 658476, 0.001398
Iquick sort, 38000, 660984, 0.001482
Iquick sort, 40000, 705064, 0.001600
Iquick sort, 42000, 737757, 0.001649
Iquick sort, 44000, 782787, 0.001752
Iquick sort, 46000, 847695, 0.001846
Iquick sort, 48000, 876997, 0.001890
Iquick sort, 50000, 919936, 0.002072
